1;str45;2;str28;30;str10;44;str24;38;str23;13;str7;28;str2;8;str7;39;str10
2;str48;3;str14;17;str44;10;str19;31;str21;2;str35;25;str14;43;str35;30;str15
3;str34;22;str4;50;str17;22;str6;20;str25;44;str26;32;str29;34;str8;2;str26
4;str14;22;str42;30;str24;21;str23;31;str4;14;str44;39;str33;46;str19;47;str17
5;str24;21;str16;29;str40;1;str8;44;str20;29;str2;36;str41;3;str34;12;str37
6;str33;5;str2;45;str21;2;str6;49;str32;45;str13;4;str29;44;str48;13;str16
7;str18;15;str25;33;str10;40;str40;15;str13;28;str23;15;str48;44;str36;4;str39
8;str21;44;str27;15;str25;18;str42;6;str7;38;str46;41;str47;15;str33;34;str20
9;str38;14;str30;48;str25;45;str47;8;str31;6;str48;34;str29;34;str18;23;str9
10;str6;4;str14;27;str17;34;str27;15;str2;43;str26;21;str13;29;str43;3;str33
11;str47;6;str6;32;str2;44;str35;20;str34;47;str39;40;str27;29;str15;25;str22
12;str5;20;str25;41;str41;10;str20;11;str45;33;str8;19;str49;16;str8;36;str26
13;str2;8;str39;4;str36;31;str48;4;str31;36;str28;31;str14;34;str23;16;str49
14;str4;49;str7;12;str27;29;str33;50;str34;46;str20;18;str44;24;str33;45;str6
15;str41;32;str1;40;str6;26;str20;17;str15;41;str3;34;str10;34;str21;25;str10
16;str10;41;str42;50;str10;41;str6;49;str23;7;str19;22;str50;19;str12;12;str15
17;str6;23;str12;44;str41;37;str35;48;str17;35;str14;6;str39;29;str17;3;str3
18;str12;18;str46;21;str17;16;str10;17;str38;36;str46;15;str10;25;str14;15;str10
19;str8;8;str24;9;str1;14;str25;36;str13;27;str18;19;str8;50;str24;10;str49
20;str5;49;str40;40;str11;6;str9;13;str18;13;str35;11;str46;23;str5;14;str11
21;str1;26;str37;46;str28;26;str30;44;str19;38;str17;34;str9;4;str25;37;str35
22;str36;45;str26;32;str11;34;str42;19;str50;7;str7;29;str40;24;str15;11;str31
23;str50;35;str1;22;str3;32;str45;50;str4;21;str48;27;str23;40;str35;30;str46
24;str11;44;str38;16;str41;2;str38;33;str47;7;str43;39;str17;42;str30;33;str37
25;str33;35;str18;20;str36;45;str43;34;str7;10;str50;32;str30;4;str29;5;str7
26;str48;10;str31;33;str46;18;str38;11;str42;22;str25;32;str3;34;str8;27;str4
27;str27;6;str1;16;str15;10;str12;22;str19;45;str49;49;str12;45;str35;39;str44
28;str26;42;str6;29;str35;32;str34;31;str43;13;str12;46;str7;7;str32;10;str47
29;str40;32;str50;26;str6;23;str33;16;str43;8;str21;19;str26;33;str45;4;str28
30;str17;16;str16;23;str43;31;str46;1;str12;6;str43;24;str16;5;str50;28;str30
31;str35;3;str44;12;str3;25;str11;47;str7;9;str33;6;str42;8;str2;39;str21
32;str19;35;str50;44;str7;49;str19;35;str20;10;str25;29;str4;40;str50;11;str32
33;str19;39;str26;17;str26;10;str30;10;str33;46;str25;27;str30;10;str3;17;str3
34;str9;13;str5;20;str14;47;str27;50;str38;1;str14;10;str25;36;str25;19;str28
35;str9;25;str20;5;str20;41;str23;7;str41;7;str26;20;str37;25;str16;24;str3
36;str50;26;str29;3;str4;38;str17;20;str33;24;str41;33;str28;18;str19;46;str25
37;str19;42;str48;29;str1;46;str41;48;str5;2;str39;34;str15;20;str8;43;str8
38;str18;41;str45;33;str41;8;str11;20;str17;5;str30;20;str50;3;str20;33;str39
39;str15;12;str39;15;str36;40;str32;15;str47;43;str16;24;str31;19;str19;41;str6
40;str44;23;str47;45;str25;46;str16;37;str49;43;str5;22;str41;22;str30;4;str15
41;str32;4;str49;29;str40;30;str21;42;str37;39;str46;44;str16;4;str19;21;str32
42;str46;36;str19;40;str9;49;str22;40;str47;14;str41;25;str20;49;str21;46;str4
43;str26;50;str37;35;str47;3;str46;25;str48;15;str50;2;str2;33;str2;29;str29
44;str33;10;str45;15;str28;50;str2;35;str30;14;str14;13;str39;49;str44;42;str13
45;str12;2;str8;20;str34;45;str3;18;str46;3;str26;30;str44;8;str21;17;str15
46;str20;25;str24;47;str19;29;str36;26;str45;7;str38;32;str18;35;str13;12;str14
47;str23;22;str40;45;str49;41;str37;43;str47;41;str35;8;str28;5;str41;36;str3
48;str34;23;str30;30;str16;43;str23;50;str19;16;str8;4;str16;38;str28;47;str43
49;str25;35;str32;23;str26;10;str37;33;str45;27;str36;5;str38;46;str20;20;str33
50;str10;9;str41;36;str42;18;str46;38;str39;4;str45;27;str16;21;str11;15;str43
51;str38;21;str32;48;str21;34;str26;22;str24;40;str1;39;str13;28;str38;29;str3
52;str13;29;str32;28;str24;33;str45;40;str28;48;str29;46;str27;3;str29;27;str43
53;str16;42;str8;19;str49;12;str45;15;str8;35;str17;24;str38;7;str42;12;str29
54;str18;25;str23;37;str46;27;str2;33;str49;31;str6;43;str38;42;str20;12;str11
55;str46;26;str12;49;str2;16;str3;21;str11;35;str5;31;str29;3;str18;5;str36
56;str12;34;str9;16;str41;11;str23;41;str42;14;str17;19;str22;22;str34;2;str17
57;str30;31;str16;10;str29;38;str26;6;str39;20;str24;29;str8;29;str19;8;str8
58;str31;7;str33;43;str14;28;str5;9;str27;13;str4;22;str3;26;str5;27;str8
59;str14;46;str19;33;str42;12;str41;11;str47;41;str30;10;str3;31;str48;39;str40
60;str26;24;str46;38;str14;26;str6;29;str1;32;str40;9;str14;39;str10;6;str18
61;str48;36;str17;48;str35;27;str28;27;str11;37;str14;47;str41;5;str5;13;str10
62;str38;34;str11;43;str30;2;str47;50;str20;1;str20;50;str18;10;str47;45;str46
63;str44;50;str10;24;str41;50;str34;33;str35;23;str50;29;str6;12;str16;10;str27
64;str17;45;str36;14;str2;26;str45;29;str22;26;str13;37;str22;49;str32;2;str43
65;str22;28;str5;36;str33;14;str46;4;str45;36;str21;49;str29;49;str47;23;str13
66;str46;12;str31;5;str43;25;str27;34;str8;13;str23;5;str11;24;str5;48;str50
67;str33;31;str12;10;str46;30;str14;45;str12;7;str36;16;str33;11;str48;20;str21
68;str25;9;str16;15;str39;11;str6;19;str37;46;str39;9;str39;4;str15;7;str11
69;str41;5;str46;43;str26;19;str29;45;str34;48;str45;35;str9;44;str34;27;str32
70;str20;4;str39;50;str14;18;str20;34;str29;39;str12;22;str41;22;str33;37;str14
71;str25;25;str46;4;str34;34;str15;36;str16;15;str34;17;str7;14;str22;36;str12
72;str36;47;str49;15;str40;39;str11;47;str42;35;str44;27;str28;23;str42;22;str17
73;str6;47;str10;26;str30;2;str25;37;str31;4;str4;50;str45;14;str33;34;str35
74;str50;19;str3;32;str22;19;str49;45;str13;49;str11;46;str21;36;str8;46;str36
75;str26;17;str45;20;str33;18;str43;3;str28;8;str50;22;str2;14;str23;33;str43
76;str48;45;str45;39;str13;15;str44;50;str7;32;str50;36;str2;45;str43;8;str8
77;str32;38;str47;34;str5;8;str13;28;str45;30;str48;16;str49;3;str3;25;str16
78;str45;9;str3;31;str45;42;str38;3;str38;30;str35;28;str23;18;str39;7;str8
79;str50;13;str3;31;str27;7;str41;50;str49;39;str5;22;str50;16;str15;8;str50
80;str30;44;str48;18;str50;1;str35;21;str47;29;str33;13;str28;12;str7;43;str39
81;str37;32;str25;6;str4;44;str3;6;str9;29;str30;33;str2;36;str29;9;str29
82;str18;25;str24;10;str50;3;str49;8;str1;25;str40;25;str5;35;str27;44;str10
83;str27;10;str10;43;str40;7;str26;32;str5;26;str11;50;str8;4;str36;11;str48
84;str32;46;str42;15;str11;10;str20;5;str9;30;str26;35;str16;31;str16;9;str19
85;str40;32;str29;18;str44;6;str7;41;str47;41;str43;33;str28;3;str9;19;str47
86;str42;38;str8;4;str37;31;str20;35;str9;15;str20;8;str33;16;str7;35;str17
87;str2;39;str49;47;str43;29;str19;29;str13;11;str50;32;str18;19;str19;49;str28
88;str50;18;str5;42;str28;3;str45;32;str18;50;str26;19;str47;16;str9;26;str14
89;str45;25;str17;1;str9;32;str4;4;str50;41;str43;50;str22;27;str35;12;str1
90;str40;34;str11;9;str20;37;str13;29;str8;1;str43;22;str43;12;str18;19;str32
91;str26;46;str38;39;str36;8;str39;10;str10;26;str27;46;str11;21;str13;33;str19
92;str33;21;str3;43;str28;3;str48;48;str24;14;str35;30;str39;12;str22;31;str49
93;str18;35;str22;33;str1;44;str25;3;str25;50;str24;6;str28;14;str50;50;str23
94;str30;46;str9;5;str38;49;str3;45;str33;43;str30;5;str34;14;str46;27;str47
95;str17;25;str11;1;str33;27;str36;24;str40;23;str23;28;str39;41;str7;13;str4
96;str5;13;str19;16;str4;20;str8;9;str6;6;str27;16;str39;19;str17;21;str14
97;str28;9;str36;27;str12;32;str18;39;str26;34;str33;16;str20;7;str33;40;str1
98;str15;42;str37;37;str10;50;str29;2;str2;23;str10;6;str28;17;str30;17;str13
99;str16;29;str27;15;str39;40;str23;32;str2;47;str47;43;str14;47;str42;50;str21
100;str13;26;str23;30;str19;23;str2;46;str19;39;str43;40;str31;45;str32;3;str42
101;str27;11;str44;5;str21;48;str25;31;str7;49;str25;8;str10;25;str40;25;str33
102;str49;22;str32;29;str37;1;str49;45;str21;35;str39;27;str7;27;str17;30;str36
103;str44;9;str36;8;str9;27;str25;5;str16;7;str20;29;str3;8;str34;11;str4
104;str22;6;str44;45;str29;27;str14;32;str3;23;str22;46;str45;17;str25;29;str47
105;str47;36;str2;18;str24;28;str11;2;str5;34;str16;7;str16;35;str46;31;str42
106;str19;10;str20;43;str10;9;str25;12;str30;17;str46;9;str19;30;str15;29;str26
107;str19;4;str42;24;str43;14;str26;12;str43;28;str33;4;str33;1;str23;43;str17
108;str15;17;str49;50;str25;19;str11;33;str29;16;str44;20;str44;11;str44;5;str37
109;str18;19;str44;25;str33;33;str23;50;str35;5;str23;50;str40;12;str42;8;str13
110;str22;16;str1;8;str44;26;str31;6;str13;18;str35;1;str35;49;str16;23;str40
111;str14;20;str21;3;str34;18;str38;3;str24;17;str21;14;str39;50;str50;2;str5
112;str25;25;str15;13;str42;33;str50;42;str33;46;str1;28;str33;44;str6;47;str34
113;str27;29;str15;11;str7;3;str1;13;str30;38;str21;4;str44;43;str15;40;str16
114;str6;16;str33;25;str15;22;str27;2;str16;33;str12;27;str7;10;str45;20;str17
115;str3;29;str45;23;str16;46;str45;32;str12;8;str43;47;str14;15;str15;22;str9
116;str20;36;str32;1;str42;14;str21;18;str30;47;str44;1;str8;6;str17;2;str25
117;str20;29;str11;10;str45;41;str15;16;str10;34;str19;14;str43;5;str26;21;str26
118;str7;22;str33;22;str30;37;str46;37;str20;9;str4;20;str43;14;str5;47;str42
119;str1;34;str12;3;str15;5;str8;42;str10;23;str25;29;str19;30;str44;18;str12
120;str8;32;str13;38;str28;49;str35;21;str49;27;str30;36;str3;9;str7;40;str33
121;str18;43;str28;33;str6;41;str4;34;str45;44;str28;18;str34;27;str13;35;str18
122;str38;34;str3;42;str19;41;str17;13;str18;36;str8;40;str38;36;str6;5;str2
123;str7;36;str50;40;str32;43;str7;22;str10;41;str19;28;str45;49;str24;7;str2
124;str46;35;str17;47;str49;21;str38;17;str21;45;str45;28;str50;50;str27;26;str35
125;str7;41;str34;34;str29;22;str49;18;str6;31;str37;41;str36;36;str17;9;str36
126;str27;13;str17;36;str24;37;str33;36;str11;46;str48;9;str38;27;str35;50;str22
127;str28;34;str49;31;str27;38;str2;7;str49;6;str38;22;str44;27;str12;11;str38
128;str38;9;str48;35;str25;17;str19;23;str39;18;str19;1;str23;9;str40;48;str10
129;str46;15;str18;17;str16;49;str32;13;str19;6;str21;25;str37;34;str48;16;str21
130;str39;20;str1;32;str49;48;str24;39;str5;9;str4;10;str33;46;str37;35;str45
131;str50;47;str20;16;str16;20;str24;1;str36;35;str46;37;str1;34;str42;14;str16
132;str10;50;str49;6;str7;19;str49;2;str40;33;str17;45;str47;41;str33;35;str11
133;str23;5;str30;41;str33;9;str29;42;str11;11;str40;2;str6;10;str27;29;str26
134;str36;20;str33;27;str13;16;str19;21;str44;10;str17;44;str21;46;str27;25;str7
135;str6;3;str21;4;str25;46;str29;4;str2;1;str19;27;str6;50;str3;25;str41
136;str31;20;str5;29;str41;46;str19;32;str35;9;str29;22;str38;33;str26;4;str28
137;str12;42;str24;38;str1;12;str9;26;str37;14;str27;40;str49;8;str5;9;str22
138;str19;8;str29;45;str5;48;str10;34;str34;28;str45;25;str18;47;str2;5;str13
139;str46;49;str15;12;str29;16;str8;35;str22;43;str32;36;str8;18;str39;8;str6
140;str11;22;str24;4;str21;36;str36;37;str16;34;str3;23;str37;33;str46;29;str27
141;str9;9;str49;18;str20;1;str24;46;str23;23;str8;16;str38;41;str11;30;str4
142;str46;4;str10;48;str40;37;str48;35;str35;3;str26;16;str39;7;str22;1;str45
143;str45;39;str10;32;str1;8;str24;42;str2;10;str27;7;str17;26;str31;20;str25
144;str2;27;str8;23;str50;5;str29;43;str29;49;str22;40;str42;49;str33;15;str4
145;str12;30;str23;17;str25;1;str4;46;str37;7;str44;31;str35;49;str49;46;str40
146;str28;6;str19;14;str6;26;str26;47;str17;27;str18;31;str46;25;str34;32;str36
147;str23;45;str27;30;str50;26;str48;46;str48;10;str6;42;str12;18;str34;38;str20
148;str38;15;str46;22;str49;21;str47;25;str32;4;str30;34;str50;28;str42;32;str26
149;str24;34;str47;24;str18;21;str39;1;str12;25;str37;22;str33;26;str23;41;str41
150;str19;22;str17;11;str14;33;str3;47;str45;37;str19;35;str13;20;str14;29;str9
151;str28;33;str19;36;str12;31;str26;4;str16;37;str3;32;str30;32;str27;35;str12
152;str47;46;str16;24;str23;17;str34;30;str6;10;str3;40;str1;18;str13;10;str8
153;str23;13;str23;28;str1;7;str14;22;str28;33;str17;40;str28;33;str6;7;str37
154;str4;27;str12;24;str45;4;str24;23;str34;33;str19;8;str3;42;str11;31;str12
155;str45;10;str48;44;str43;2;str8;8;str11;17;str16;40;str41;40;str19;17;str27
156;str13;22;str12;3;str3;37;str7;8;str43;26;str48;9;str1;16;str17;34;str29
157;str36;10;str21;23;str23;32;str2;39;str27;13;str29;6;str50;22;str21;42;str30
158;str4;6;str39;14;str48;45;str37;1;str27;37;str15;13;str21;32;str31;3;str14
159;str28;40;str14;29;str13;30;str36;26;str37;14;str16;27;str29;12;str39;24;str12
160;str4;33;str33;14;str34;6;str36;12;str12;35;str44;9;str41;16;str17;5;str47
161;str46;28;str30;19;str44;23;str43;25;str50;29;str40;39;str19;25;str2;6;str46
162;str43;4;str8;38;str42;4;str25;41;str29;30;str3;31;str18;12;str46;4;str28
163;str47;22;str2;4;str21;5;str43;39;str48;50;str40;39;str13;25;str20;27;str14
164;str16;1;str50;14;str2;35;str25;42;str10;45;str16;48;str29;31;str25;25;str26
165;str4;21;str26;21;str47;8;str47;25;str8;13;str16;17;str7;2;str33;25;str18
166;str16;45;str8;50;str7;2;str29;35;str37;29;str20;3;str22;32;str14;22;str15
167;str6;47;str39;22;str46;25;str32;7;str7;27;str46;37;str8;46;str26;16;str27
168;str30;29;str36;10;str7;50;str12;35;str44;22;str41;21;str17;4;str46;45;str3
169;str43;10;str12;48;str16;40;str40;4;str21;13;str5;16;str47;27;str41;14;str10
170;str9;35;str23;38;str13;10;str50;24;str33;4;str27;29;str45;34;str14;22;str43
