1;str39;13;str11;20;str1;44;str11;19;str46;40;str39;38;str31;17;str19;13;str33;1
2;str49;43;str9;42;str17;7;str5;21;str32;37;str1;39;str30;20;str40;50;str7;24
3;str22;25;str13;43;str15;5;str32;34;str36;18;str17;7;str20;20;str42;29;str47;39
4;str9;19;str1;23;str14;35;str48;1;str1;47;str22;12;str47;1;str33;28;str26;19
5;str15;10;str30;27;str30;37;str13;36;str26;14;str25;5;str12;33;str4;22;str44;1
6;str37;25;str45;46;str41;13;str5;48;str16;27;str15;25;str13;43;str34;24;str45;28
7;str6;43;str10;28;str45;8;str7;27;str12;31;str28;49;str13;44;str2;5;str17;15
8;str25;18;str3;3;str12;26;str27;3;str22;14;str11;2;str5;44;str15;41;str44;46
9;str18;50;str46;18;str40;22;str39;24;str7;41;str12;4;str49;2;str29;9;str26;48
10;str49;12;str10;45;str20;23;str42;43;str32;44;str13;32;str50;42;str12;25;str37;6
11;str34;9;str28;35;str7;2;str1;46;str10;39;str47;41;str42;25;str26;45;str5;16
12;str37;43;str8;36;str40;48;str12;9;str5;40;str10;43;str41;32;str17;11;str26;9
13;str48;40;str41;16;str44;49;str43;33;str18;19;str31;42;str3;4;str11;9;str47;42
14;str41;35;str47;45;str35;24;str39;46;str20;5;str41;4;str33;44;str14;1;str5;21
15;str23;31;str39;25;str10;8;str49;11;str37;13;str40;39;str22;13;str34;13;str49;27
16;str47;36;str48;6;str37;47;str34;50;str28;37;str22;8;str1;12;str47;12;str3;13
17;str29;47;str18;49;str21;17;str49;12;str23;45;str13;42;str34;18;str27;20;str14;48
18;str9;5;str42;46;str45;49;str20;43;str27;28;str46;32;str32;19;str1;22;str13;35
19;str20;25;str4;38;str41;47;str40;45;str35;20;str34;47;str6;18;str41;49;str47;25
20;str20;45;str28;38;str14;2;str9;50;str8;44;str37;25;str47;48;str33;15;str7;43
21;str25;18;str18;37;str13;16;str12;19;str16;10;str48;20;str1;11;str5;11;str3;32
22;str34;24;str27;42;str26;44;str22;2;str26;10;str25;19;str20;14;str43;30;str14;50
23;str15;18;str8;39;str33;49;str27;9;str5;25;str4;3;str46;4;str38;3;str36;18
24;str30;37;str44;45;str32;46;str27;24;str38;16;str28;13;str18;6;str18;19;str13;31
25;str42;7;str24;5;str42;8;str6;5;str27;25;str46;35;str19;33;str44;15;str22;24
26;str1;34;str16;35;str19;32;str37;22;str41;26;str47;30;str25;31;str19;5;str40;40
27;str34;23;str50;14;str1;6;str13;28;str37;44;str24;46;str29;10;str3;4;str42;28
28;str43;11;str6;14;str12;19;str27;43;str21;5;str32;24;str48;18;str30;18;str35;15
29;str37;43;str34;43;str3;16;str15;37;str9;31;str8;41;str23;45;str48;18;str3;45
30;str7;15;str39;36;str6;45;str2;35;str19;13;str21;36;str50;5;str1;20;str16;24
31;str49;22;str5;8;str22;40;str36;9;str24;37;str4;24;str15;23;str47;28;str49;5
32;str14;2;str40;37;str13;16;str7;7;str11;28;str30;41;str19;20;str19;48;str30;43
33;str49;14;str34;23;str4;3;str1;37;str28;47;str44;41;str8;38;str1;34;str20;29
34;str29;39;str30;2;str49;1;str8;7;str18;35;str29;25;str13;24;str14;1;str14;48
35;str43;20;str50;1;str2;25;str42;39;str21;3;str30;29;str36;29;str17;5;str12;2
36;str45;38;str33;7;str4;50;str30;48;str21;44;str21;11;str9;24;str46;27;str10;15
37;str3;32;str46;30;str7;6;str32;48;str30;25;str38;21;str21;38;str50;33;str29;15
38;str40;46;str18;5;str37;45;str3;28;str36;12;str34;8;str14;31;str1;27;str48;12
39;str10;41;str50;48;str28;8;str34;43;str5;50;str47;4;str39;41;str25;24;str26;42
40;str48;29;str46;45;str38;13;str10;37;str39;28;str10;49;str27;46;str22;16;str40;18
41;str40;25;str48;49;str36;19;str45;20;str2;31;str12;40;str3;27;str7;43;str5;1
42;str11;6;str1;40;str4;15;str46;17;str30;43;str9;27;str21;13;str14;45;str49;16
43;str26;35;str10;5;str6;20;str27;1;str2;50;str46;1;str31;14;str23;5;str43;28
44;str23;26;str21;39;str11;38;str36;49;str48;11;str4;14;str18;46;str2;11;str38;48
45;str1;25;str4;37;str47;20;str40;8;str29;23;str40;9;str50;10;str5;27;str34;21
46;str17;8;str47;11;str36;27;str9;24;str38;23;str17;46;str45;27;str17;9;str5;34
47;str27;30;str31;16;str34;44;str30;34;str40;26;str36;5;str6;21;str32;17;str7;22
48;str47;50;str23;37;str4;37;str36;32;str46;48;str37;26;str37;45;str24;17;str18;37
49;str23;19;str15;35;str15;24;str41;25;str10;49;str42;1;str44;15;str25;11;str5;35
50;str49;41;str48;36;str12;33;str42;3;str16;15;str3;6;str30;45;str21;47;str24;26
51;str23;16;str20;6;str47;35;str50;46;str16;31;str18;9;str42;19;str19;41;str15;27
52;str38;20;str29;34;str29;15;str34;19;str6;16;str11;8;str25;14;str9;42;str4;39
53;str40;16;str18;49;str16;36;str11;50;str7;28;str1;9;str28;28;str13;1;str5;49
54;str48;20;str39;37;str1;15;str4;32;str7;26;str29;32;str2;34;str13;33;str1;23
55;str11;41;str21;22;str45;4;str13;40;str50;25;str38;20;str12;32;str49;10;str50;30
