NUM_OF_CORE,MORSEL_SIZE,cols,recSize,TimeTaken
2,264,3,264,29.50000
2,53064,3,264,45.00000
2,105864,3,264,90.00000
2,158664,3,264,39.50000
2,211464,3,264,20.00000
2,264264,3,264,83.50000
2,317064,3,264,25.00000
2,369864,3,264,36.50000
2,422664,3,264,76.50000
2,475464,3,264,94.50000
2,528264,3,264,40.00000
2,581064,3,264,66.00000
2,633864,3,264,83.50000
2,686664,3,264,37.00000
2,739464,3,264,69.00000
2,792264,3,264,36.00000
2,845064,3,264,56.00000
2,897864,3,264,59.50000
2,950664,3,264,86.50000
2,1003464,3,264,96.50000
2,1056264,3,264,19.50000
2,1109064,3,264,52.00000
2,1161864,3,264,61.00000
2,1214664,3,264,73.00000
2,1267464,3,264,20.50000
2,1320264,3,264,92.00000
2,1373064,3,264,93.00000
2,1425864,3,264,75.00000
2,1478664,3,264,31.00000
2,1531464,3,264,62.00000
2,1584264,3,264,67.00000
2,1637064,3,264,64.50000
2,1689864,3,264,66.00000
2,1742664,3,264,76.50000
2,1795464,3,264,49.00000
2,1848264,3,264,61.50000
2,1901064,3,264,16.50000
2,1953864,3,264,38.50000
2,2006664,3,264,27.00000
2,2059464,3,264,54.50000
4,264,3,264,19.50000
4,53064,3,264,39.75000
4,105864,3,264,24.00000
4,158664,3,264,18.75000
4,211464,3,264,12.25000
4,264264,3,264,18.00000
4,317064,3,264,41.75000
4,369864,3,264,13.50000
4,422664,3,264,46.00000
4,475464,3,264,40.25000
4,528264,3,264,31.00000
4,581064,3,264,57.75000
4,633864,3,264,36.00000
4,686664,3,264,38.50000
4,739464,3,264,43.25000
4,792264,3,264,22.00000
4,845064,3,264,33.50000
4,897864,3,264,26.50000
4,950664,3,264,38.50000
4,1003464,3,264,22.75000
4,1056264,3,264,33.25000
4,1109064,3,264,20.75000
4,1161864,3,264,19.00000
4,1214664,3,264,24.25000
4,1267464,3,264,47.00000
4,1320264,3,264,45.25000
4,1373064,3,264,45.50000
4,1425864,3,264,41.00000
4,1478664,3,264,30.75000
4,1531464,3,264,49.50000
4,1584264,3,264,34.25000
4,1637064,3,264,42.25000
4,1689864,3,264,30.00000
4,1742664,3,264,66.00000
4,1795464,3,264,29.50000
4,1848264,3,264,55.00000
4,1901064,3,264,44.25000
4,1953864,3,264,19.50000
4,2006664,3,264,32.50000
4,2059464,3,264,43.25000
6,264,3,264,35.50000
6,53064,3,264,10.16667
6,105864,3,264,34.16667
6,158664,3,264,36.16667
6,211464,3,264,22.66667
6,264264,3,264,30.00000
6,317064,3,264,28.83333
6,369864,3,264,32.00000
6,422664,3,264,28.66667
6,475464,3,264,24.50000
6,528264,3,264,26.50000
6,581064,3,264,26.66667
6,633864,3,264,15.50000
6,686664,3,264,41.00000
6,739464,3,264,38.00000
6,792264,3,264,15.00000
6,845064,3,264,24.16667
6,897864,3,264,26.33333
6,950664,3,264,36.33333
6,1003464,3,264,35.33333
6,1056264,3,264,36.66667
6,1109064,3,264,36.50000
6,1161864,3,264,12.83333
6,1214664,3,264,26.66667
6,1267464,3,264,24.16667
6,1320264,3,264,28.00000
6,1373064,3,264,22.00000
6,1425864,3,264,22.00000
6,1478664,3,264,19.50000
6,1531464,3,264,21.00000
6,1584264,3,264,34.66667
6,1637064,3,264,19.16667
6,1689864,3,264,37.50000
6,1742664,3,264,34.33333
6,1795464,3,264,16.16667
6,1848264,3,264,37.00000
6,1901064,3,264,15.83333
6,1953864,3,264,41.33333
6,2006664,3,264,21.16667
6,2059464,3,264,32.16667
8,264,3,264,17.12500
8,53064,3,264,18.12500
8,105864,3,264,22.12500
8,158664,3,264,17.50000
8,211464,3,264,20.25000
8,264264,3,264,30.37500
8,317064,3,264,30.50000
8,369864,3,264,22.00000
8,422664,3,264,19.00000
8,475464,3,264,30.50000
8,528264,3,264,9.50000
8,581064,3,264,22.75000
8,633864,3,264,24.00000
8,686664,3,264,24.00000
8,739464,3,264,19.50000
8,792264,3,264,13.62500
8,845064,3,264,19.37500
8,897864,3,264,23.87500
8,950664,3,264,25.75000
8,1003464,3,264,19.75000
8,1056264,3,264,15.37500
8,1109064,3,264,18.37500
8,1161864,3,264,15.62500
8,1214664,3,264,26.37500
8,1267464,3,264,14.62500
8,1320264,3,264,12.37500
8,1373064,3,264,21.12500
8,1425864,3,264,27.37500
8,1478664,3,264,27.25000
8,1531464,3,264,25.62500
8,1584264,3,264,17.12500
8,1637064,3,264,17.00000
8,1689864,3,264,25.12500
8,1742664,3,264,26.87500
8,1795464,3,264,24.75000
8,1848264,3,264,11.75000
8,1901064,3,264,25.75000
8,1953864,3,264,28.50000
8,2006664,3,264,16.37500
8,2059464,3,264,33.12500
10,264,3,264,11.70000
10,53064,3,264,11.40000
10,105864,3,264,22.30000
10,158664,3,264,25.70000
10,211464,3,264,24.50000
10,264264,3,264,23.30000
10,317064,3,264,17.40000
10,369864,3,264,21.20000
10,422664,3,264,8.90000
10,475464,3,264,18.30000
10,528264,3,264,26.10000
10,581064,3,264,26.10000
10,633864,3,264,22.90000
10,686664,3,264,21.50000
10,739464,3,264,24.60000
10,792264,3,264,24.30000
10,845064,3,264,13.10000
10,897864,3,264,8.40000
10,950664,3,264,14.00000
10,1003464,3,264,17.10000
10,1056264,3,264,22.50000
10,1109064,3,264,22.70000
10,1161864,3,264,24.00000
10,1214664,3,264,22.40000
10,1267464,3,264,8.80000
10,1320264,3,264,18.00000
10,1373064,3,264,26.90000
10,1425864,3,264,9.00000
10,1478664,3,264,9.50000
10,1531464,3,264,26.50000
10,1584264,3,264,26.10000
10,1637064,3,264,24.30000
10,1689864,3,264,9.90000
10,1742664,3,264,14.00000
10,1795464,3,264,13.00000
10,1848264,3,264,12.00000
10,1901064,3,264,19.00000
10,1953864,3,264,20.60000
10,2006664,3,264,21.00000
10,2059464,3,264,15.70000
12,264,3,264,21.08333
12,53064,3,264,11.58333
12,105864,3,264,7.41667
12,158664,3,264,15.41667
12,211464,3,264,11.08333
12,264264,3,264,15.00000
12,317064,3,264,11.66667
12,369864,3,264,13.91667
12,422664,3,264,18.58333
12,475464,3,264,19.50000
12,528264,3,264,19.08333
12,581064,3,264,15.58333
12,633864,3,264,21.66667
12,686664,3,264,23.50000
12,739464,3,264,21.50000
12,792264,3,264,10.25000
12,845064,3,264,18.41667
12,897864,3,264,11.75000
12,950664,3,264,9.83333
12,1003464,3,264,11.75000
12,1056264,3,264,10.25000
12,1109064,3,264,20.83333
12,1161864,3,264,21.16667
12,1214664,3,264,21.91667
12,1267464,3,264,14.91667
12,1320264,3,264,17.16667
12,1373064,3,264,13.33333
12,1425864,3,264,15.16667
12,1478664,3,264,20.91667
12,1531464,3,264,13.91667
12,1584264,3,264,21.83333
12,1637064,3,264,11.91667
12,1689864,3,264,23.25000
12,1742664,3,264,18.41667
12,1795464,3,264,13.75000
12,1848264,3,264,16.16667
12,1901064,3,264,13.66667
12,1953864,3,264,17.00000
12,2006664,3,264,17.83333
12,2059464,3,264,21.91667
14,264,3,264,8.50000
14,53064,3,264,16.71428
14,105864,3,264,13.28571
14,158664,3,264,12.28571
14,211464,3,264,10.21429
14,264264,3,264,22.14286
14,317064,3,264,14.42857
14,369864,3,264,14.85714
14,422664,3,264,14.07143
14,475464,3,264,11.00000
14,528264,3,264,13.64286
14,581064,3,264,15.57143
14,633864,3,264,12.78571
14,686664,3,264,15.92857
14,739464,3,264,13.00000
14,792264,3,264,27.07143
14,845064,3,264,12.78571
14,897864,3,264,16.85714
14,950664,3,264,15.85714
14,1003464,3,264,15.85714
14,1056264,3,264,21.92857
14,1109064,3,264,15.14286
14,1161864,3,264,21.00000
14,1214664,3,264,19.14286
14,1267464,3,264,21.00000
14,1320264,3,264,15.21429
14,1373064,3,264,18.78572
14,1425864,3,264,7.78571
14,1478664,3,264,16.64286
14,1531464,3,264,15.85714
14,1584264,3,264,18.85714
14,1637064,3,264,21.71428
14,1689864,3,264,14.21429
14,1742664,3,264,18.92857
14,1795464,3,264,14.42857
14,1848264,3,264,23.42857
14,1901064,3,264,16.57143
14,1953864,3,264,6.50000
14,2006664,3,264,7.85714
14,2059464,3,264,17.28572
16,264,3,264,8.06250
16,53064,3,264,21.56250
16,105864,3,264,10.68750
16,158664,3,264,12.75000
16,211464,3,264,15.43750
16,264264,3,264,7.37500
16,317064,3,264,19.00000
16,369864,3,264,19.43750
16,422664,3,264,20.18750
16,475464,3,264,19.75000
16,528264,3,264,15.25000
16,581064,3,264,12.68750
16,633864,3,264,13.68750
16,686664,3,264,13.68750
16,739464,3,264,20.00000
16,792264,3,264,20.93750
16,845064,3,264,10.12500
16,897864,3,264,13.87500
16,950664,3,264,11.18750
16,1003464,3,264,13.62500
16,1056264,3,264,14.12500
16,1109064,3,264,16.81250
16,1161864,3,264,11.50000
16,1214664,3,264,15.93750
16,1267464,3,264,7.37500
16,1320264,3,264,15.68750
16,1373064,3,264,19.75000
16,1425864,3,264,18.56250
16,1478664,3,264,10.06250
16,1531464,3,264,13.06250
16,1584264,3,264,20.56250
16,1637064,3,264,14.00000
16,1689864,3,264,16.25000
16,1742664,3,264,11.93750
16,1795464,3,264,21.31250
16,1848264,3,264,20.50000
16,1901064,3,264,16.18750
16,1953864,3,264,21.75000
16,2006664,3,264,11.75000
16,2059464,3,264,18.00000
18,264,3,264,11.88889
18,53064,3,264,12.83333
18,105864,3,264,19.77778
18,158664,3,264,13.00000
18,211464,3,264,12.94444
18,264264,3,264,6.83333
18,317064,3,264,10.44444
18,369864,3,264,19.27778
18,422664,3,264,13.83333
18,475464,3,264,20.33333
18,528264,3,264,16.55556
18,581064,3,264,18.66667
18,633864,3,264,11.88889
18,686664,3,264,15.33333
18,739464,3,264,17.05556
18,792264,3,264,19.61111
18,845064,3,264,16.00000
18,897864,3,264,18.55556
18,950664,3,264,15.72222
18,1003464,3,264,15.33333
18,1056264,3,264,18.77778
18,1109064,3,264,9.50000
18,1161864,3,264,18.61111
18,1214664,3,264,16.44444
18,1267464,3,264,14.94444
18,1320264,3,264,18.66667
18,1373064,3,264,11.11111
18,1425864,3,264,14.33333
18,1478664,3,264,12.44444
18,1531464,3,264,18.61111
18,1584264,3,264,15.16667
18,1637064,3,264,10.88889
18,1689864,3,264,8.22222
18,1742664,3,264,23.72222
18,1795464,3,264,20.27778
18,1848264,3,264,10.16667
18,1901064,3,264,18.38889
18,1953864,3,264,11.55556
18,2006664,3,264,15.55556
18,2059464,3,264,18.22222
20,264,3,264,19.50000
20,53064,3,264,14.20000
20,105864,3,264,20.15000
20,158664,3,264,13.85000
20,211464,3,264,15.20000
20,264264,3,264,17.00000
20,317064,3,264,22.85000
20,369864,3,264,19.20000
20,422664,3,264,18.30000
20,475464,3,264,18.30000
20,528264,3,264,15.55000
20,581064,3,264,17.20000
20,633864,3,264,10.05000
20,686664,3,264,13.20000
20,739464,3,264,9.20000
20,792264,3,264,17.80000
20,845064,3,264,14.00000
20,897864,3,264,20.55000
20,950664,3,264,18.95000
20,1003464,3,264,19.90000
20,1056264,3,264,17.95000
20,1109064,3,264,18.20000
20,1161864,3,264,21.15000
20,1214664,3,264,15.45000
20,1267464,3,264,20.25000
20,1320264,3,264,19.45000
20,1373064,3,264,14.10000
20,1425864,3,264,14.95000
20,1478664,3,264,16.45000
20,1531464,3,264,13.60000
20,1584264,3,264,19.15000
20,1637064,3,264,15.95000
20,1689864,3,264,22.35000
20,1742664,3,264,16.40000
20,1795464,3,264,16.45000
20,1848264,3,264,17.75000
20,1901064,3,264,16.35000
20,1953864,3,264,18.35000
20,2006664,3,264,11.85000
20,2059464,3,264,18.15000
22,264,3,264,7.40909
22,53064,3,264,14.04545
22,105864,3,264,19.00000
22,158664,3,264,20.09091
22,211464,3,264,9.45455
22,264264,3,264,14.36364
22,317064,3,264,13.95455
22,369864,3,264,12.68182
22,422664,3,264,17.45455
22,475464,3,264,17.77273
22,528264,3,264,18.95455
22,581064,3,264,15.13636
22,633864,3,264,17.45455
22,686664,3,264,14.86364
22,739464,3,264,13.54545
22,792264,3,264,14.90909
22,845064,3,264,15.81818
22,897864,3,264,10.77273
22,950664,3,264,14.27273
22,1003464,3,264,13.68182
22,1056264,3,264,13.00000
22,1109064,3,264,19.40909
22,1161864,3,264,15.13636
22,1214664,3,264,15.50000
22,1267464,3,264,17.04545
22,1320264,3,264,10.63636
22,1373064,3,264,10.36364
22,1425864,3,264,15.31818
22,1478664,3,264,18.22727
22,1531464,3,264,17.50000
22,1584264,3,264,14.77273
22,1637064,3,264,13.86364
22,1689864,3,264,16.09091
22,1742664,3,264,16.31818
22,1795464,3,264,19.77273
22,1848264,3,264,14.63636
22,1901064,3,264,11.31818
22,1953864,3,264,14.27273
22,2006664,3,264,18.40909
22,2059464,3,264,16.95455
24,264,3,264,3.87500
24,53064,3,264,9.70833
24,105864,3,264,17.08333
24,158664,3,264,19.29167
24,211464,3,264,14.12500
24,264264,3,264,17.41667
24,317064,3,264,16.54167
24,369864,3,264,21.16667
24,422664,3,264,18.70833
24,475464,3,264,17.66667
24,528264,3,264,16.50000
24,581064,3,264,15.83333
24,633864,3,264,15.75000
24,686664,3,264,15.12500
24,739464,3,264,18.58333
24,792264,3,264,17.16667
24,845064,3,264,16.75000
24,897864,3,264,18.33333
24,950664,3,264,16.50000
24,1003464,3,264,15.33333
24,1056264,3,264,17.37500
24,1109064,3,264,13.08333
24,1161864,3,264,18.33333
24,1214664,3,264,16.20833
24,1267464,3,264,17.62500
24,1320264,3,264,17.66667
24,1373064,3,264,17.66667
24,1425864,3,264,15.83333
24,1478664,3,264,17.00000
24,1531464,3,264,10.20833
24,1584264,3,264,13.41667
24,1637064,3,264,11.66667
24,1689864,3,264,13.33333
24,1742664,3,264,18.95833
24,1795464,3,264,18.83333
24,1848264,3,264,10.54167
24,1901064,3,264,18.50000
24,1953864,3,264,9.62500
24,2006664,3,264,19.66667
24,2059464,3,264,15.45833
26,264,3,264,10.03846
26,53064,3,264,17.92308
26,105864,3,264,17.30769
26,158664,3,264,16.73077
26,211464,3,264,15.23077
26,264264,3,264,13.50000
26,317064,3,264,13.07692
26,369864,3,264,19.42308
26,422664,3,264,16.30769
26,475464,3,264,18.53846
26,528264,3,264,9.42308
26,581064,3,264,17.50000
26,633864,3,264,17.15385
26,686664,3,264,9.42308
26,739464,3,264,16.50000
26,792264,3,264,21.26923
26,845064,3,264,22.69231
26,897864,3,264,12.46154
26,950664,3,264,17.46154
26,1003464,3,264,16.38461
26,1056264,3,264,18.57692
26,1109064,3,264,18.30769
