NUM_OF_CORE,MORSEL_SIZE_A,MORSEL_SIZE_B,colsA,colsB,recSizeA,recSizeB,TimeTaken
2,264,264,3,3,264,264,205.50000
2,264,53064,3,3,264,264,185.50000
2,264,105864,3,3,264,264,199.00000
2,264,158664,3,3,264,264,194.00000
2,264,211464,3,3,264,264,195.50000
2,264,264264,3,3,264,264,209.50000
2,264,317064,3,3,264,264,194.00000
2,264,369864,3,3,264,264,189.50000
2,264,422664,3,3,264,264,195.50000
2,264,475464,3,3,264,264,201.00000
2,264,528264,3,3,264,264,206.50000
2,264,581064,3,3,264,264,165.50000
2,264,633864,3,3,264,264,216.00000
2,264,686664,3,3,264,264,204.50000
2,264,739464,3,3,264,264,221.50000
2,264,792264,3,3,264,264,163.50000
2,264,845064,3,3,264,264,193.00000
2,264,897864,3,3,264,264,202.00000
2,264,950664,3,3,264,264,212.50000
2,264,1003464,3,3,264,264,207.50000
2,264,1056264,3,3,264,264,200.00000
2,264,1109064,3,3,264,264,196.00000
2,264,1161864,3,3,264,264,190.00000
2,264,1214664,3,3,264,264,187.00000
2,264,1267464,3,3,264,264,176.50000
2,264,1320264,3,3,264,264,174.50000
2,264,1373064,3,3,264,264,194.50000
2,264,1425864,3,3,264,264,206.50000
2,264,1478664,3,3,264,264,168.50000
2,264,1531464,3,3,264,264,211.50000
2,264,1584264,3,3,264,264,197.50000
2,264,1637064,3,3,264,264,202.00000
2,264,1689864,3,3,264,264,200.00000
2,264,1742664,3,3,264,264,200.50000
2,264,1795464,3,3,264,264,201.00000
2,264,1848264,3,3,264,264,213.50000
2,264,1901064,3,3,264,264,192.00000
2,264,1953864,3,3,264,264,200.00000
2,264,2006664,3,3,264,264,210.00000
2,264,2059464,3,3,264,264,206.50000
2,53064,264,3,3,264,264,198.00000
2,53064,53064,3,3,264,264,204.50000
2,53064,105864,3,3,264,264,174.50000
2,53064,158664,3,3,264,264,195.50000
2,53064,211464,3,3,264,264,197.50000
2,53064,264264,3,3,264,264,206.50000
2,53064,317064,3,3,264,264,216.50000
2,53064,369864,3,3,264,264,183.00000
2,53064,422664,3,3,264,264,214.00000
2,53064,475464,3,3,264,264,199.00000
2,53064,528264,3,3,264,264,199.00000
2,53064,581064,3,3,264,264,204.50000
2,53064,633864,3,3,264,264,219.00000
2,53064,686664,3,3,264,264,204.50000
2,53064,739464,3,3,264,264,222.50000
2,53064,792264,3,3,264,264,188.00000
2,53064,845064,3,3,264,264,182.00000
2,53064,897864,3,3,264,264,191.50000
2,53064,950664,3,3,264,264,198.50000
2,53064,1003464,3,3,264,264,150.50000
2,53064,1056264,3,3,264,264,210.50000
2,53064,1109064,3,3,264,264,189.00000
2,53064,1161864,3,3,264,264,186.00000
2,53064,1214664,3,3,264,264,204.50000
2,53064,1267464,3,3,264,264,202.00000
2,53064,1320264,3,3,264,264,197.50000
2,53064,1373064,3,3,264,264,192.00000
2,53064,1425864,3,3,264,264,177.50000
2,53064,1478664,3,3,264,264,192.00000
2,53064,1531464,3,3,264,264,197.50000
2,53064,1584264,3,3,264,264,205.50000
2,53064,1637064,3,3,264,264,187.50000
2,53064,1689864,3,3,264,264,264.00000
2,53064,1742664,3,3,264,264,169.00000
2,53064,1795464,3,3,264,264,211.50000
2,53064,1848264,3,3,264,264,216.50000
2,53064,1901064,3,3,264,264,199.00000
2,53064,1953864,3,3,264,264,182.00000
2,53064,2006664,3,3,264,264,202.50000
2,53064,2059464,3,3,264,264,184.00000
2,105864,264,3,3,264,264,214.50000
2,105864,53064,3,3,264,264,199.00000
2,105864,105864,3,3,264,264,199.00000
2,105864,158664,3,3,264,264,208.00000
2,105864,211464,3,3,264,264,172.50000
2,105864,264264,3,3,264,264,189.00000
2,105864,317064,3,3,264,264,188.00000
2,105864,369864,3,3,264,264,206.50000
2,105864,422664,3,3,264,264,193.50000
2,105864,475464,3,3,264,264,180.50000
2,105864,528264,3,3,264,264,192.50000
2,105864,581064,3,3,264,264,191.50000
2,105864,633864,3,3,264,264,182.50000
2,105864,686664,3,3,264,264,139.50000
2,105864,739464,3,3,264,264,200.00000
2,105864,792264,3,3,264,264,156.00000
2,105864,845064,3,3,264,264,204.50000
2,105864,897864,3,3,264,264,191.00000
2,105864,950664,3,3,264,264,200.00000
2,105864,1003464,3,3,264,264,202.00000
2,105864,1056264,3,3,264,264,172.50000
2,105864,1109064,3,3,264,264,207.00000
2,105864,1161864,3,3,264,264,196.00000
2,105864,1214664,3,3,264,264,200.50000
2,105864,1267464,3,3,264,264,206.50000
2,105864,1320264,3,3,264,264,197.00000
2,105864,1373064,3,3,264,264,177.50000
2,105864,1425864,3,3,264,264,201.00000
2,105864,1478664,3,3,264,264,189.50000
2,105864,1531464,3,3,264,264,215.00000
2,105864,1584264,3,3,264,264,195.00000
2,105864,1637064,3,3,264,264,202.00000
2,105864,1689864,3,3,264,264,187.00000
2,105864,1742664,3,3,264,264,204.00000
2,105864,1795464,3,3,264,264,171.50000
2,105864,1848264,3,3,264,264,163.00000
2,105864,1901064,3,3,264,264,192.00000
2,105864,1953864,3,3,264,264,223.00000
2,105864,2006664,3,3,264,264,199.00000
2,105864,2059464,3,3,264,264,187.50000
2,158664,264,3,3,264,264,182.50000
2,158664,53064,3,3,264,264,194.00000
2,158664,105864,3,3,264,264,191.50000
2,158664,158664,3,3,264,264,185.00000
2,158664,211464,3,3,264,264,184.00000
2,158664,264264,3,3,264,264,186.00000
2,158664,317064,3,3,264,264,176.00000
2,158664,369864,3,3,264,264,198.50000
2,158664,422664,3,3,264,264,197.00000
2,158664,475464,3,3,264,264,176.00000
2,158664,528264,3,3,264,264,189.00000
2,158664,581064,3,3,264,264,207.00000
2,158664,633864,3,3,264,264,199.00000
2,158664,686664,3,3,264,264,201.00000
2,158664,739464,3,3,264,264,194.00000
2,158664,792264,3,3,264,264,196.00000
2,158664,845064,3,3,264,264,183.50000
2,158664,897864,3,3,264,264,201.50000
2,158664,950664,3,3,264,264,178.50000
2,158664,1003464,3,3,264,264,217.00000
2,158664,1056264,3,3,264,264,194.50000
2,158664,1109064,3,3,264,264,192.50000
2,158664,1161864,3,3,264,264,175.00000
2,158664,1214664,3,3,264,264,190.00000
2,158664,1267464,3,3,264,264,188.50000
2,158664,1320264,3,3,264,264,282.00000
2,158664,1373064,3,3,264,264,187.00000
2,158664,1425864,3,3,264,264,188.50000
2,158664,1478664,3,3,264,264,204.00000
2,158664,1531464,3,3,264,264,191.00000
2,158664,1584264,3,3,264,264,195.50000
2,158664,1637064,3,3,264,264,182.50000
2,158664,1689864,3,3,264,264,186.50000
2,158664,1742664,3,3,264,264,183.50000
2,158664,1795464,3,3,264,264,207.50000
2,158664,1848264,3,3,264,264,177.50000
2,158664,1901064,3,3,264,264,198.00000
2,158664,1953864,3,3,264,264,169.50000
2,158664,2006664,3,3,264,264,194.00000
2,158664,2059464,3,3,264,264,191.50000
2,211464,264,3,3,264,264,197.50000
2,211464,53064,3,3,264,264,209.50000
2,211464,105864,3,3,264,264,189.00000
2,211464,158664,3,3,264,264,198.50000
2,211464,211464,3,3,264,264,214.00000
2,211464,264264,3,3,264,264,197.00000
2,211464,317064,3,3,264,264,175.00000
2,211464,369864,3,3,264,264,207.50000
2,211464,422664,3,3,264,264,200.50000
2,211464,475464,3,3,264,264,217.50000
2,211464,528264,3,3,264,264,168.00000
2,211464,581064,3,3,264,264,170.00000
2,211464,633864,3,3,264,264,192.00000
2,211464,686664,3,3,264,264,189.00000
2,211464,739464,3,3,264,264,204.50000
2,211464,792264,3,3,264,264,195.50000
2,211464,845064,3,3,264,264,207.00000
2,211464,897864,3,3,264,264,210.50000
2,211464,950664,3,3,264,264,178.00000
2,211464,1003464,3,3,264,264,203.50000
2,211464,1056264,3,3,264,264,202.00000
2,211464,1109064,3,3,264,264,206.00000
2,211464,1161864,3,3,264,264,185.50000
2,211464,1214664,3,3,264,264,198.00000
2,211464,1267464,3,3,264,264,186.00000
2,211464,1320264,3,3,264,264,207.50000
2,211464,1373064,3,3,264,264,196.50000
2,211464,1425864,3,3,264,264,195.00000
2,211464,1478664,3,3,264,264,201.00000
2,211464,1531464,3,3,264,264,175.50000
2,211464,1584264,3,3,264,264,207.00000
2,211464,1637064,3,3,264,264,180.50000
2,211464,1689864,3,3,264,264,188.50000
2,211464,1742664,3,3,264,264,206.00000
2,211464,1795464,3,3,264,264,175.50000
2,211464,1848264,3,3,264,264,178.50000
2,211464,1901064,3,3,264,264,192.50000
2,211464,1953864,3,3,264,264,201.00000
2,211464,2006664,3,3,264,264,194.00000
2,211464,2059464,3,3,264,264,173.50000
2,264264,264,3,3,264,264,197.50000
2,264264,53064,3,3,264,264,206.00000
2,264264,105864,3,3,264,264,197.50000
2,264264,158664,3,3,264,264,181.50000
2,264264,211464,3,3,264,264,188.00000
2,264264,264264,3,3,264,264,185.50000
2,264264,317064,3,3,264,264,214.00000
2,264264,369864,3,3,264,264,191.00000
2,264264,422664,3,3,264,264,200.50000
2,264264,475464,3,3,264,264,186.50000
2,264264,528264,3,3,264,264,268.00000
2,264264,581064,3,3,264,264,192.00000
2,264264,633864,3,3,264,264,291.50000
2,264264,686664,3,3,264,264,199.50000
2,264264,739464,3,3,264,264,197.00000
2,264264,792264,3,3,264,264,205.50000
2,264264,845064,3,3,264,264,281.00000
2,264264,897864,3,3,264,264,186.00000
2,264264,950664,3,3,264,264,191.00000
2,264264,1003464,3,3,264,264,190.00000
2,264264,1056264,3,3,264,264,260.50000
2,264264,1109064,3,3,264,264,170.00000
2,264264,1161864,3,3,264,264,198.00000
2,264264,1214664,3,3,264,264,202.00000
2,264264,1267464,3,3,264,264,183.50000
2,264264,1320264,3,3,264,264,181.00000
2,264264,1373064,3,3,264,264,188.00000
2,264264,1425864,3,3,264,264,170.50000
2,264264,1478664,3,3,264,264,193.00000
2,264264,1531464,3,3,264,264,189.50000
2,264264,1584264,3,3,264,264,187.00000
2,264264,1637064,3,3,264,264,172.50000
2,264264,1689864,3,3,264,264,191.00000
2,264264,1742664,3,3,264,264,196.50000
2,264264,1795464,3,3,264,264,169.50000
2,264264,1848264,3,3,264,264,211.00000
2,264264,1901064,3,3,264,264,192.00000
2,264264,1953864,3,3,264,264,193.00000
2,264264,2006664,3,3,264,264,191.50000
2,264264,2059464,3,3,264,264,198.00000
2,317064,264,3,3,264,264,156.00000
2,317064,53064,3,3,264,264,178.00000
2,317064,105864,3,3,264,264,210.00000
2,317064,158664,3,3,264,264,176.00000
2,317064,211464,3,3,264,264,181.00000
2,317064,264264,3,3,264,264,192.00000
2,317064,317064,3,3,264,264,191.50000
2,317064,369864,3,3,264,264,208.00000
2,317064,422664,3,3,264,264,192.00000
2,317064,475464,3,3,264,264,170.00000
2,317064,528264,3,3,264,264,204.50000
2,317064,581064,3,3,264,264,215.00000
2,317064,633864,3,3,264,264,193.50000
2,317064,686664,3,3,264,264,173.00000
2,317064,739464,3,3,264,264,201.50000
2,317064,792264,3,3,264,264,204.00000
2,317064,845064,3,3,264,264,182.00000
2,317064,897864,3,3,264,264,203.50000
2,317064,950664,3,3,264,264,193.50000
