NUM_OF_CORE,MORSEL_SIZE,cols,recSize,TimeTaken
2,264,3,264,106.00000
2,53064,3,264,107.50000
2,105864,3,264,105.00000
2,158664,3,264,105.50000
2,211464,3,264,107.00000
2,264264,3,264,107.50000
2,317064,3,264,116.50000
2,369864,3,264,103.50000
2,422664,3,264,103.50000
2,475464,3,264,104.00000
2,528264,3,264,104.00000
2,581064,3,264,110.50000
2,633864,3,264,107.50000
2,686664,3,264,108.00000
2,739464,3,264,103.50000
2,792264,3,264,105.00000
2,845064,3,264,108.00000
2,897864,3,264,103.50000
2,950664,3,264,96.00000
2,1003464,3,264,109.50000
2,1056264,3,264,105.00000
2,1109064,3,264,104.50000
2,1161864,3,264,103.00000
2,1214664,3,264,108.00000
2,1267464,3,264,108.00000
2,1320264,3,264,103.50000
2,1373064,3,264,98.50000
2,1425864,3,264,105.00000
2,1478664,3,264,112.00000
2,1531464,3,264,109.50000
2,1584264,3,264,105.00000
2,1637064,3,264,106.00000
2,1689864,3,264,109.50000
2,1742664,3,264,106.00000
2,1795464,3,264,104.00000
2,1848264,3,264,108.00000
2,1901064,3,264,111.50000
2,1953864,3,264,106.50000
2,2006664,3,264,111.50000
2,2059464,3,264,106.00000
4,264,3,264,62.00000
4,53064,3,264,57.75000
4,105864,3,264,53.25000
4,158664,3,264,57.50000
4,211464,3,264,62.75000
4,264264,3,264,54.75000
4,317064,3,264,63.75000
4,369864,3,264,63.00000
4,422664,3,264,57.50000
4,475464,3,264,59.75000
4,528264,3,264,58.00000
4,581064,3,264,62.75000
4,633864,3,264,56.25000
4,686664,3,264,64.25000
4,739464,3,264,63.25000
4,792264,3,264,61.50000
4,845064,3,264,58.25000
4,897864,3,264,54.50000
4,950664,3,264,60.00000
4,1003464,3,264,59.50000
4,1056264,3,264,60.25000
4,1109064,3,264,55.50000
4,1161864,3,264,63.50000
4,1214664,3,264,62.00000
4,1267464,3,264,67.25000
4,1320264,3,264,54.75000
4,1373064,3,264,63.25000
4,1425864,3,264,61.75000
4,1478664,3,264,61.00000
4,1531464,3,264,56.50000
4,1584264,3,264,63.75000
4,1637064,3,264,57.00000
4,1689864,3,264,59.50000
4,1742664,3,264,63.25000
4,1795464,3,264,65.00000
4,1848264,3,264,57.00000
4,1901064,3,264,60.25000
4,1953864,3,264,61.50000
4,2006664,3,264,63.50000
4,2059464,3,264,59.00000
6,264,3,264,42.50000
6,53064,3,264,45.50000
6,105864,3,264,43.83333
6,158664,3,264,39.33333
6,211464,3,264,37.33333
